Nombre,ticker,Main Activities,,Secondary Activities,,
"Arca Continental, S.A.B. de C.V.",AC,551,312,NA,NA,NA
"Alfa, S.A.B. de C.V.",ALFA.A,336,325,311,517,422
"Alpek, S.A.B de C.V.",ALPEK.A,325,NA,NA,NA,NA
Alsea S.A de C.V.,ALSEA,551,722,NA,NA,NA
"America Movil, S.A.B. de C.V.",AMX.L,517,NA,551,NA,NA
"Grupo Aeroportuario del Sureste, S.A.B. de C.V.",ASUR.B,481,NA,NA,NA,NA
Bimbo S.A de C.V.,BIMBO.A,551,NA,311,NA,NA
Bolsa Mexicana De Valores  S.A.B. de C.V.,BOLSA.A,523,NA,NA,NA,NA
"Controladora Comercial Mexicana, S.A.B de C.V.",COMERCI.UBC,452,NA,551,NA,NA
"Grupo Elektra, S.A.B. de C.V.",ELEKTRA,442,452,551,NA,NA
"Grupo Aeroportuario del Pacifico, S.A.B. de C.V.",GAP.B,481,NA,NA,NA,NA
"Gentera, S.A.B. de C.V.",GENTERA,521,522,551,523,524
"Grupo Financiero Inbursa, S.A.B. de C.V.",GFINBUR.O,522,NA,551,NA,NA
"Grupo Financiero Banorte, S.A.B. de C.V.",GFNORTE.O,522,523,551,NA,NA
Operadora Banregio S.A de C.V.,GFREGIO.O,522,551,NA,NA,NA
"Grupo Mexico, S.A.B. de C.V.",GMEXICO.B,482,551,212,NA,NA
"Gruma, S.A.B. de C.V.",GRUMA.B,551,311,NA,NA,NA
"Grupo Sanborns, S.A. de C.V.",GSANBOR.B-1,452,551,722,NA,NA
"Empresas Ica, S.A.B. de C.V.",ICA,234,551,NA,NA,NA
"Industrias Ch, S.A.B. de C.V.",ICH.B,332,331,NA,NA,NA
IEnova S.A. de C.V. ,IENOVA,221,2212,NA,NA,NA
Kimberly Clark De Mexico  S.A.B. de C.V.,KIMBER.A,322,446,NA,NA,NA
"Coca-Cola Femsa, S.A.B. de C.V.",KOFL,312,NA,NA,NA,NA
"Genomma Lab Internacional, S.A.B. de C.V.",LAB,325,541,NA,NA,NA
"Grupo Lala, S.A.B. de C.V.",LALA.B,311,NA,NA,NA,NA
"El Puerto de Liverpool, S.A.B. de C.V.",LIVEPOLC-1,511,NA,448,452,522
Mexichem  S.A.B. de C.V.,MEXCHEM,326,325,551,NA,NA
"Obrascon Huarte Lain, S.A.",OHLMEX,234,NA,NA,NA,NA
"Promotora y Operadora de Infraestructura, S.A.B. de C.V.",PINFRA,234,235,551,NA,NA
"Grupo Financiero Santander, S.A.B. de C.V.",SANMEXB,522,523,551,NA,NA
"Grupo Televisa, S.A.B.",TLEVISA.CPO,515,516,551,NA,NA
"Wal - Mart Mexico, S.A.B. de C.V.",WALMEX,452,453,551,722,NA
